PVWatts: Hourly PV Performance Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,0,0,0,4.5,1.4,0,4.5,0,0,,,,,,,,,,,,,,6600 Gallon Plastic Water Storage Tank,6600 Gallons,"144""","101""",N-44117,"$2,799.99",,,,,,,,,,,,,,,,,
1,2,1,0,0,5.4,1.2,0,5.4,0,0,,,,,,,,,,,,,,5000 Gallon Plastic Water Storage Tank,5000 Gallons,"102""","157""",DC-905000-1.2,"$2,769.99",,,,,,,,,,,,,,,,,
1,2,2,0,0,5.7,1,0,5.7,0,0,,,,,,,,,,,,,,4100 Gallon Green Water Storage Tank,,,,,,,,,,,,,,,,,,,,,,
1,2,3,0,0,6.1,0.8,0,6.1,0,0,,,,,,,,,,,,,,Ships Immediately!,4100 Gallons,"102""","124.5""",9525-SII-WG75R,"$2,699.99",,,,1,1,0,0,0,4.5,0,0,4.5,0,0,,,
1,2,4,0,0,6.6,0.6,0,6.6,0,0,,,,,,,,,,,,,,5000 Gal Green Plastic Water Storage Tank,,,,,,,,,,1,1,0,0,4.4,0,0,4.4,0,0,,,
1,2,5,0,0,6.1,0.4,0,6.1,0,0,,,,,,,,,,,,,,Ships Immediately!,5000 Gallons,"119""","112""",9525-N-42043,"$2,699.99",,,,,1,2,0,0,4.4,0,0,4.4,0,0,,,
1,2,6,0,19,6.7,0.2,16.81,3.538,108.154,70.558,,,,,,,,,,,,,,4000 Gallon Plastic Water Storage Tank,4000 Gallons,"102""","131""",DC-904000-1.2,"$2,666.00",,,,,1,3,0,0,4.5,0,0,4.5,0,0,,,
1,2,7,38,137,7.5,0,151.768,10.969,937.227,882.412,,,,,,,,,,,,,,5100 Gallon Plastic Water Storage Tank ,,,,,,,,,,1,4,0,0,4.6,0,0,4.6,0,0,,,
1,2,8,49,243,9,0,260.373,18.643,1561.75,1491.547,,,,,,,,,,,,,,Ships In 48 Hours,5100 Gallons,"102""","159""",RP-550666,"$2,634.95",,,,,1,5,0,0,4.6,0,0,4.6,0,0,,,
1,2,9,11,333,9,2.6,311.351,15.87,1897.18,1817.855,,,,,,,,,,,,,,5000 Gallon Plastic Water Storage Tank,5000 Gallons,"102""","157""",SII-WG83,"$2,599.99",,,,,1,6,0,13,5.2,0,11.481,1.494,74.51,37.535,0.222127865,,1.405245141
1,2,10,9,350,9.4,2.6,324.01,16.738,1966.985,1885.687,,,,,,,,,,,,,,5500 Gallon Plastic Water Storage Tank,5500 Gallons,"102""","152""",N-44964,"$2,599.99",,,,,1,7,0,100,5.4,0,91.428,5.328,583.755,536.729,3.176301232,1.61907079,6.008475225
1,2,11,14,461,11,0,429.875,28.307,2473.194,2376.806,,,,,,,,,,,,,,5050 Gallon Plastic Water Storage Tank,5050 Gallons,"120""","120""",EP-TLV05050DG,"$2,599.00",,,,,1,8,5,199,6,0,184.482,11.901,1144.009,1084.329,6.416935807,4.248663327,9.589287656
1,2,12,23,542,12,0,512.592,32.877,2884.744,2775.084,,,,,,,,,,,,,,5000 Gallon Plastic Water Storage Tank,5000 Gallons,"102""","161""",PM-PM5000,"$2,499.95",,,,,1,9,21,275,7,0,264.404,17.165,1601.102,1529.86,9.053537638,7.088959041,11.76448379
1,2,13,9,603,14.8,0,556.028,37.508,3058.568,2943.031,,,,,,,,,,,,,,4100 Gallon Plastic Water Storage Tank,4100 Gallons,"102""","124.5""",SII-WG75R,"$2,495.99",,,,,1,10,7,353,10,0,325.184,23.119,1917.17,1837.283,10.87283202,12.47919933,12.49049768
1,2,14,78,455,11,5.1,487.032,19.969,2912.187,2801.609,,,,,,,,,,,,,,4995 Gal Black Plastic Water Storage tank,,,,,,,,,,1,11,9,395,11,0,365.123,26.051,2123.307,2037.495,12.05766388,16.10516044,12.67161293
1,2,15,19,396,10,5.1,375.629,16.696,2280.185,2189.712,,,,,,,,,,,,,,Ships Immediately!,4995 Gallons,"142""","89""",9512-N-44247,"$2,299.99",,,,,1,12,9,411,11,3.6,380.079,18.941,2284.55,2193.945,12.98351721,17.42749288,12.29007382
1,2,16,19,266,10,0,256.031,21.512,1519.116,1450.03,,,,,,,,,,,,,,5000 Gallon Plastic Water Storage Tank,5000 Gallons,"102""","152""",N-40641,"$2,299.99",,,,,1,13,9,400,10.5,3.3,369.74,18.489,2226.968,2138.09,12.65297366,16.75955489,11.13833628
1,2,17,3,140,9,2.6,130.843,11.241,813.588,761.573,,,,,,,,,,,,,,5100 Gallon Plastic Water Storage Tank,5100 Gallons,"142""","93""",RP-550667,"$2,294.95",,,,,1,14,7,363,10,3.1,334.223,17.297,2023.938,1941.01,11.48667662,13.2626231,9.223639964
1,2,18,0,28,8,5.1,24.803,7.275,157.038,118.527,,,,,,,,,,,,,,4100 Gallon Plastic Water Storage Tank ,,,,,,,,,,1,15,22,289,10,2.6,278.106,16.241,1691.31,1617.655,9.573098472,7.062219012,6.978683698
1,2,19,0,0,6.8,0,0,6.8,0,0,,,,,,,,,,,,,,Ships In 48 Hours,4100 Gallons,"102""","130""",RP-550665,"$2,292.99",,,,,1,16,12,213,8.4,3.1,201.298,12.254,1245.782,1183.624,7.004552334,2.389551298,4.3706309
1,2,20,0,0,7,0,0,7,0,0,,,,,,,,,,,,,,5050 Gallon Plastic Water Storage Tank,5050 Gallons,"129""","96""",BM-CWT5-132,"$2,292.99",,,,,1,17,0,122,7.9,5.2,111.707,8.97,702.057,652.498,3.861409019,1.557505882,2.009938174
1,2,21,0,0,6,0,0,6,0,0,,,,,,,,,,,,,,5000 Gallon Plastic Water Storage Tank,5000 Gallons,"120""","114""",SII-WG82,"$2,183.99",,,,,1,18,0,26,7.4,5.2,23.022,6.612,146.178,107.872,0.638374238,,0.059094749
1,2,22,0,0,5.2,4.1,0,5.2,0,0,,,,,,,,,,,,,,5000 Gallon Plastic Water Storage Tank,5000 Gallons,"144""","87""",SII-WG84,"$2,183.99",,,,,1,19,0,0,6.7,2.5,0,6.7,0,0,16897.925,,
1,2,23,0,0,5,0,0,5,0,0,,,,,,,,,,,,,,5000 Gallon Plastic Water Storage Tank,5000 Gallons,"119""","112""",N-42044,"$1,999.99",,,,,1,20,0,0,6.7,3.6,0,6.7,0,0,,,
1,3,0,0,0,5,0,0,5,0,0,,,,,,,,,,,,,,5000 Gallon Plastic Water Storage Tank,5000 Gallons,"141""","86""",N-40943,"$1,999.99",,,,,1,21,0,0,4.2,5.9,0,4.2,0,0,,,
1,3,1,0,0,4.8,0,0,4.8,0,0,,,,,,,,,,,,,,4995 Gallon Plastic Water Storage tank,4995 Gallons,"142""","89""",N-44249,"$1,899.99",,,,,1,22,0,0,3.9,7.4,0,3.9,0,0,,,
1,3,2,0,0,4.4,0,0,4.4,0,0,,,,,,,,,,,,,,3000 Gal Green Plastic Water Storage Tank,,,,,,,,,,1,23,0,0,4,4.8,0,4,0,0,,,
1,3,3,0,0,4,0,0,4,0,0,,,,,,,,,,,,,,Ships Immediately!,3000 Gallons,"102""","95""",9525-N-42041,"$1,599.99",,,,6,1,0,0,0,0.3,1,0,0.3,0,0,,,
1,3,4,0,0,4,0,0,4,0,0,,,,,,,,,,,,,,3000 Gal Black Plastic Water Storage Tank,,,,,,,,,6,1,1,0,0,0.4,0,0,0.4,0,0,,,
1,3,5,0,0,2,0,0,2,0,0,,,,,,,,,,,,,,Ships Immediately!,3000 Gallons,"95""","107""",9504-N-40635,"$1,599.99",,,,6,1,2,0,0,0.5,0,0,0.5,0,0,,,
1,3,6,0,13,2,0,11.481,-1.971,75.606,38.611,,,,,,,,,,,,,,3000 Gal Black Plastic Water Storage Tank,,,,,,,,,6,1,3,0,0,0.3,0,0,0.3,0,0,,,
1,3,7,0,99,2.6,0,90.533,2.384,585.362,538.302,,,,,,,,,,,,,,Ships Immediately!,3000 Gallons,"95""","107""",9514-N-40635,"$1,599.99",,,,6,1,4,0,0,0,0,0,0,0,0,,,
1,3,8,5,197,4,0,182.584,9.805,1142.73,1083.081,,,,,,,,,,,,,,3000 Gal Green Plastic Water Storage Tank,,,,,,,,,6,1,5,0,0,-0.4,3.6,0,-0.4,0,0,,,
1,3,9,21,274,4,0,263.374,14.179,1616.423,1544.774,,,,,,,,,,,,,,Ships Immediately!,3000 Gallons,"95""","107""",9525-N-41372,"$1,599.99",,,,6,1,6,0,0,0,4.6,0,0,0,0,,,
1,3,10,7,352,5.7,0,324.173,18.913,1948.652,1867.875,,,,,,,,,,,,,,3000 Gal Black Plastic Water Storage Tank,,,,,,,,,6,1,7,283,42,2,3.1,32.609,0.889,212.18,172.624,1.61907079,,
1,3,11,9,395,7,0,365.001,22.188,2161.323,2074.393,,,,,,,,,,,,,,Ships Immediately!,3000 Gallons,"95""","107""",9539-N-40635,"$1,599.99",,,,6,1,8,632,101,4,2.1,77.629,4.118,498.231,452.989,4.248663327,,
1,3,12,9,412,8,0,380.87,24.051,2235.844,2146.702,,,,,,,,,,,,,,3000 Gal Green Plastic Water Storage Tank,,,,,,,,,6,1,9,863,87,6,2.1,180.736,9.174,807.703,755.819,7.088959041,,
1,3,13,9,401,9.2,0,370.537,24.961,2165.899,2078.834,,,,,,,,,,,,,,Ships Immediately!,3000 Gallons,"95""","107""",9539-N-40868,"$1,599.99",,,,6,1,10,950,82,8,3.1,285.717,13.642,1396.449,1330.522,12.47919933,,
1,3,14,7,364,10,0,335.023,24.383,1963.575,1882.373,,,,,,,,,,,,,,3000 Gallon Plastic Water Storage Tank,3000 Gallons,"102""","93""",CRMI-3000VTFWG,"$1,569.95",,,,6,1,11,967,86,9,2.6,350.121,16.925,1793.562,1717.119,16.10516044,,
1,3,15,22,289,11,2.6,277.999,17.238,1683.047,1609.614,,,,,,,,,,,,,,1900 Gallon Plastic Water Storage Tank,1900 Gallons,"64""","155""",DC-901900-1.2,"$1,478.00",,,,6,1,12,947,95,11,6.2,370.126,16.635,1938.598,1858.105,17.42749288,,
1,3,16,16,211,9.3,3.1,201.772,13.167,1243.275,1181.178,,,,,,,,,,,,,,3000 Gallon Plastic Water Storage Tank,3000 Gallons,"95""","110""",DC-903000-1.2,"$1,452.95",,,,6,1,13,831,154,11.2,5.1,354.792,17.313,1865.323,1786.89,16.75955489,,
1,3,17,0,121,8,5.1,110.613,9.066,694.89,645.486,,,,,,,,,,,,,,2825 Gallon Plastic Water Storage Tank,2825 Gallons,"102""","92""",BM-CWT2825,"$1,375.99",,,,6,1,14,847,134,11,5.1,295.707,15.94,1482.177,1414.05,13.2626231,,
1,3,18,0,26,7,0,23.02,5.359,146.961,108.64,,,,,,,,,,,,,,3060 Gallon Plastic Water Storage Tank,3060 Gallons,"90""","125""",EP-TLV03000DG,"$1,338.00",,,,6,1,15,878,79,11,5.7,183.764,13.476,804.787,752.968,7.062219012,,
1,3,19,0,0,6.6,3.1,0,6.6,0,0,,,,,,,,,,,,,,3500 Gallon Plastic Water Storage Tank,3500 Gallons,"96""","125""",RP-550664,"$1,309.99",,,,6,1,16,774,55,11,4.6,47.477,10.838,295.948,254.772,2.389551298,,
1,3,20,0,0,6.3,4.1,0,6.3,0,0,,,,,,,,,,,,,,2500 Gal Green Plastic Water Storage Tank,,,,,,,,,6,1,17,291,42,9,3.6,32.579,8.151,205.488,166.06,1.557505882,,
1,3,21,0,0,6,5.1,0,6,0,0,,,,,,,,,,,,,,Ships Immediately!,2500 Gallons,"95""","89""",9525-N-41370,"$1,299.99",,,,6,1,18,0,0,5,0,0,5,0,0,10661.918,,
1,3,22,0,0,5.5,4.1,0,5.5,0,0,,,,,,,,,,,,,,2500 Gal Green Plastic Water Storage Tank,,,,,,,,,6,1,19,0,0,4,0,0,4,0,0,,,
1,3,23,0,0,5,3.1,0,5,0,0,,,,,,,,,,,,,,Ships Immediately!,2500 Gallons,"95""","89""",9539-N-40867,"$1,299.99",,,,6,1,20,0,0,3,0,0,3,0,0,,,
1,4,0,0,0,5,4.1,0,5,0,0,,,,,,,,,,,,,,2500 Gal Black Plastic Water Storage Tank,,,,,,,,,6,1,21,0,0,2.3,0,0,2.3,0,0,,,
1,4,1,0,0,5.2,0,0,5.2,0,0,,,,,,,,,,,,,,Ships Immediately!,2500 Gallons,"95""","89""",9539-N-40631,"$1,299.99",,,,6,1,22,0,0,1.6,0,0,1.6,0,0,,,
1,4,2,0,0,5,0,0,5,0,0,,,,,,,,,,,,,,3450 Gallon Plastic Water Storage Tank,3450 Gallons,"96""","120""",N-44664,"$1,299.99",,,,6,1,23,0,0,0.9,0,0,0.9,0,0,,,
1,4,3,0,0,5,0,0,5,0,0,,,,,,,,,,,,,,2200 Gallon Plastic Water Storage Tank,2200 Gallons,"76""","116""",DC-902200-1.2,"$1,253.00",,,,12,1,0,0,0,6.3,0,0,6.3,0,0,,,
1,4,4,0,0,5,0,0,5,0,0,,,,,,,,,,,,,,3000 Gallon Plastic Water Storage Tank,3000 Gallons,"90""","125""",SII-WG70P,"$1,247.99",,,,12,1,1,0,0,5.6,0,0,5.6,0,0,,,
1,4,5,0,0,5,2.1,0,5,0,0,,,,,,,,,,,,,,3000 Gallon Plastic Water Storage Tank,3000 Gallons,"102""","93""",SII-WG73,"$1,247.99",,,,12,1,2,0,0,4.9,0,0,4.9,0,0,,,
1,4,6,0,16,5.4,2.1,14.144,3.629,90.965,53.687,,,,,,,,,,,,,,3000 Gallon Plastic Water Storage Tank,3000 Gallons,"102""","96""",SII-WG71,"$1,247.99",,,,12,1,3,0,0,4.3,0,0,4.3,0,0,,,
1,4,7,99,116,5.8,2.1,161.81,8.221,998.086,941.863,,,,,,,,,,,,,,3000 Gallon Plastic Water Storage Tank,3000 Gallons,"96""","109""",SII-WG72,"$1,247.99",,,,12,1,4,0,0,3.9,0,0,3.9,0,0,,,
1,4,8,32,266,5.9,3.1,264.94,10.991,1646.617,1574.163,,,,,,,,,,,,,,3000 Gallon Tri-Layer Water Tank,,,,,,,,,12,1,5,0,0,3.6,0,0,3.6,0,0,,,
1,4,9,71,336,5.9,2.6,365.189,14.173,2239.017,2149.779,,,,,,,,,,,,,,Ships In 48 Hours,3000 Gallons,"96""","109""",RP-590280,"$1,209.99",,,,12,1,6,42,47,5,3,60.288,4.603,372.075,329.394,1.405245141,,
1,4,10,12,440,6,2.6,409.311,15.687,2496.62,2399.501,,,,,,,,,,,,,,2100 Gallon Black Plastic Water Storage Tank,,,,,,,,,12,1,7,177,160,7.8,2.6,244.07,12.356,1476.382,1408.406,6.008475225,,
1,4,11,14,460,6.5,1.3,428.773,19.254,2573.468,2473.93,,,,,,,,,,,,,,Ships Immediately!,2100 Gallons,"87""","90""",9512-N-44411,"$1,199.99",,,,12,1,8,224,261,9,3,390.291,17.41,2340.046,2247.76,9.589287656,,
1,4,12,11,447,7,0,414.559,24.767,2425.444,2330.538,,,,,,,,,,,,,,2100 Gallon Black Plastic Water Storage Tank,,,,,,,,,12,1,9,170,375,10,3.6,481.22,20.3,2866.692,2757.633,11.76448379,,
1,4,13,9,401,7.5,0,370.471,23.606,2179.302,2091.841,,,,,,,,,,,,,,Ships Immediately!,2100 Gallons,"87""","90""",9539-N-44411,"$1,199.99",,,,12,1,10,100,467,11.5,4.1,514.192,22.185,3042.812,2927.813,12.49049768,,
