Average retail price of electricity monthly,,,,,
https://www.eia.gov/electricity/data/browser/#/topic/7?agg=0,1&geo=0002&endsec=vg&linechart=ELEC.PRICE.NY-ALL.M~ELEC.PRICE.NY-RES.M~ELEC.PRICE.NY-COM.M~ELEC.PRICE.NY-IND.M~ELEC.PRICE.NY-TRA.M&columnchart=ELEC.PRICE.NY-ALL.M&map=ELEC.PRICE.NY-ALL.M&freq=M&start=200101&end=201706&chartindexed=0&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=,,,,
07:55:57 GMT-0400 (Eastern Daylight Time),,,,,
Data source: U.S. Energy Information Administration,,,,,
Month,New York : all sectors cents per kilowatthour,New York : residential cents per kilowatthour,New York : commercial cents per kilowatthour,New York : industrial cents per kilowatthour,New York : transportation cents per kilowatthour
3-Apr,12.51,14.55,12.97,7.59,9.45
3-Mar,12.15,13.91,12.43,7.6,9.32
3-Feb,11.53,13.3,11.69,7.46,9.03
3-Jan,11.05,12.77,11.01,7.24,8.82
2-Dec,10.84,13.19,11.83,4.94,
2-Nov,10.54,13.37,11.55,4.92,
2-Oct,11.49,13.87,12.92,5.34,
2-Sep,11.77,14.42,13.07,5.13,
2-Aug,12.16,14.16,13.58,5.23,
2-Jul,12.29,14.19,13.89,5.34,
2-Jun,11.52,14.01,12.72,5.58,
2-May,10.69,13.3,11.77,5.17,
2-Apr,10.45,12.69,11.66,5.06,
2-Mar,10.53,12.81,11.53,5.16,
2-Feb,10.33,13,11.18,4.81,
2-Jan,10.67,12.95,11.45,5.47,
1-Dec,10.87,13.25,11.79,5.38,
1-Nov,10.61,13.53,11.66,5.18,
1-Oct,11.83,14.22,13.74,5.3,
1-Sep,12.02,14.23,13.95,5.39,
1-Aug,12.69,14.61,14.74,6.03,
1-Jul,13.26,14.99,14.55,6.55,
1-Jun,11.46,14.41,12.72,5.48,
1-May,10.97,14.01,11.88,5.45,
1-Apr,10.7,13.44,11.49,5.59,
1-Mar,11.01,13.58,12.09,5.36,
1-Feb,11.17,13.93,12.31,5.72,
1-Jan,11.53,13.89,12.7,5.5, 
